车 0
门 0
很 0
溥 0
， 0
关 3
门 3
声 3
音 3
不 5
如 5
帝 2
豪 2
7 2
1 2
8 2
好 4
听 4
。 0

车 1
的 0
隔 3
音 3
比 5
我 0
以 0
前 0
开 0
的 0
老 2
广 2
本 2
2 2
. 2
3 2
的 0
还 4
要 4
好 4
一 4
点 4
。 0

2 0
0 0
0 0
3 0
- 0
0 0
9 0
- 0
2 0
2 0
2 0
2 0
: 0
1 0
0 0
: 0
5 0
5 0
新 0
浪 0
网 0
友 0
发 0
表 0
评 0
论 0
　 0
I 0
P 0
: 0
2 0
1 0
9 0
. 0
1 0
5 0
3 0
. 0
1 0
3 0
7 0
, 0
大 0
众 0
途 1
安 1
M 1
P 1
V 1
预 0
计 0
1 0
1 0
月 0
下 0
线 0
比 5
马 2
自 2
大 2
M 2
P 2
V 2
大 4
一 4
些 4
样 3
子 3
更 4
漂 4
亮 4
基 0
本 0
型 0
价 0
格 0
1 0
7 0
万 0
左 0
右 0
配 0
置 0
很 0
好 0
！ 0
！ 0
！ 0

领 0
域 0
的 0
刹 3
车 3
偏 4
软 4
， 0
迈 1
腾 1
的 0
刹 0
车 0
算 0
不 0
错 0
了 0
， 0
但 0
和 5
3 2
1 2
8 2
i 2
比 5
仍 0
偏 0
软 0
。 0

客 0
观 0
的 0
说 0
， 0
过 0
去 0
夏 1
利 1
绝 0
对 0
比 5
吉 2
利 2
稳 4
定 4
、 0
可 4
靠 4
、 0
耐 4
用 4
， 0
将 0
来 0
孰 0
好 0
孰 0
坏 0
， 0
很 0
难 0
说 0
了 0
。 0

音 3
响 3
比 5
德 2
系 2
车 2
好 4
。 0

总 0
体 0
感 0
觉 0
: 0
外 0
型 0
: 0
大 0
气 0
, 0
流 0
线 0
型 0
, 0
动 0
感 0
十 0
足 0
； 0
空 0
间 0
挺 0
大 0
的 0
， 0
我 0
这 0
1 0
8 0
0 0
的 0
大 0
个 0
子 0
还 0
是 0
满 0
自 0
在 0
的 0
， 0
特 0
别 0
是 0
后 3
排 3
空 3
间 3
比 5
老 2
宝 2
来 2
大 4
多 4
了 0
。 0

听 0
销 0
售 0
员 0
介 0
绍 0
了 0
爱 2
腾 2
和 0
柯 1
兰 1
多 1
， 0
觉 0
得 0
同 0
样 0
2 0
. 0
0 0
的 0
发 0
动 0
机 0
， 0
柯 0
兰 0
多 0
在 0
动 3
力 3
上 0
明 0
显 0
优 4
越 4
很 4
多 4
， 0
而 0
且 0
还 0
是 0
电 0
子 0
风 0
扇 0
， 0
声 0
音 0
小 0
， 0
爱 0
腾 0
的 0
声 0
音 0
家 0
里 0
人 0
还 0
是 0
不 0
能 0
接 0
受 0
。 0

前 0
几 0
天 0
试 0
驾 0
了 0
瑞 1
风 1
的 1
柴 1
油 1
车 1
感 0
觉 0
： 0
1 0
噪 3
音 3
比 5
汽 2
油 2
发 2
动 2
机 2
的 2
车 2
要 4
大 4
。 0

（ 0
由 0
此 0
我 0
对 0
中 0
华 0
也 0
开 0
始 0
表 0
示 0
怀 0
疑 0
， 0
一 0
样 0
的 0
三 0
菱 0
发 0
动 0
机 0
） 0
4 0
、 0
性 0
价 0
比 5
： 0
相 0
同 0
配 0
置 0
的 0
情 0
况 0
下 0
， 0
瑞 1
风 1
要 0
比 0
风 2
行 2
贵 4
一 4
到 4
二 4
万 4
， 0
且 0
风 0
行 0
还 0
多 0
天 0
窗 0
。 0

逍 1
客 1
同 5
轩 2
逸 2
一 4
样 4
， 0
其 0
发 3
动 3
机 3
都 0
采 0
用 0
了 0
曲 0
轴 0
偏 0
置 0
技 0
术 0
。 0

（ 0
外 3
观 3
和 5
国 2
产 2
的 0
一 4
样 4
） 0
跑 0
了 0
9 0
万 0
多 0
点 0
。 0

福 1
美 1
来 1
通 0
过 0
频 0
繁 0
的 0
调 0
价 0
， 0
而 0
不 0
加 0
强 0
售 0
后 0
服 0
务 0
、 0
降 0
低 0
配 0
件 0
价 0
格 0
， 0
最 0
终 0
将 0
落 0
得 0
连 0
老 2
款 2
竭 2
达 2
都 5
不 5
如 5
， 0
品 0
牌 0
的 0
信 0
誉 0
将 0
一 0
扫 0
而 0
光 0
。 0

他 0
买 0
的 0
是 0
1 0
1 0
， 0
7 0
8 0
万 0
元 0
的 0
捷 1
达 1
， 0
从 0
各 3
方 3
面 3
不 5
如 5
伊 2
兰 2
特 2
！ 0

只 0
是 0
1 0
2 0
0 0
迈 0
的 0
基 0
础 0
上 0
刹 3
车 3
似 0
乎 0
没 0
有 0
